BSAA,BSBA,BSCA,PYEA,BSFA,BSGA,PLHA,PRHA,PTHA,PFNA,PLNA,BSPA,BSSA,BSTA,PSTA,BSWA,PLBB,PRBB,PLCB,PRCB,PLFB,PRFB,PKAC,PACC,PMPC,PPRC,RCHD,PGID,TGID,POID,PUND,PHPD,PSPD,PRSD,PGHE,PUHE,PPOE,PBRE,PEYE,TRAF,PPBF,PBSH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PPRI,PINJ,PBAK,PTAK,PPBK,PRBK,PNEK,PFLK,PFMK,PTRK,PBTK,PTAL,PIBL,PHCL,PLEL,PREL,PLKL,PSPL,PLSL,PHLM,PSTM,PHAN,PJEN,PTEN,PLHN,PRHN,PLKN,PRKN,PLSO,PTHP,PIMP,PJMP,PTYP,PCAR,PSAR,PTAR,PLCR,PJER,PLKR,PKPR,PSPR,PLSR,PRTR,PSTR,POVR,PAWR,PLWR,PRWR,PPBS,PRBS,PDIS,PVIS,RELS,PRNS,PPOS,PPRS,PYRS,BSAT,BSBT,SPCT,BSCT,BSFT,PHGT,BSGT,PWGT,PHIT,BSPT,PKRT,BSST,BSTT,BSWT,PBCV,PMCV,PZCV,PFMV,PJMV,PPMV,PSMV,PESV,PBFW,PLHW,PLTW,PLSY,PSTY,sgmp
1,7,7,3,1,7,3,3,25,Ryan,Booth,2,7,7,80,0,0,0,0,0,0,0,23,68,0,36,10863,80,1,80,0,0,68,0,38,0,55,0,1,46,34,47,3,3,46,2,2,68,0,78,0,46,77,82,0,0,34,39,46,0,77,0,0,0,0,0,0,5,0,0,79,0,0,0,1,1,1,17,68,49,0,19,41,0,0,0,0,15,0,0,30,82,74,74,10,10,44,33,2,0,38,2,5,40,22,16,15,36,15,15,77,15,120,47,15,21,15,15,0,23,25,29,45,70,34,70,26,37,0,0,0,0,0
5,5,5,1,5,5,3,3,48,Johnathan,Youngblood,2,5,5,85,0,0,0,0,0,0,0,19,80,0,70,2320,81,1,81,0,0,77,0,124,0,50,0,0,62,68,70,3,3,65,2,2,80,0,84,1,74,62,63,0,0,33,75,65,0,63,0,0,0,0,0,10,5,0,0,35,0,0,0,1,1,1,46,68,67,0,63,85,0,0,0,0,22,0,10,62,75,70,70,14,14,72,68,3,0,52,2,14,70,61,7,8,60,8,8,71,8,65,75,8,65,8,8,0,62,61,64,74,70,75,65,65,73,0,0,0,0,0
2,8,8,3,8,8,3,3,28,Benjamin,Mercer,2,8,8,70,0,0,0,0,0,0,0,37,75,0,36,2049,82,1,82,0,0,65,0,98,0,39,0,0,42,51,43,3,3,52,2,2,75,26,77,0,40,75,75,0,0,34,55,54,0,75,4,0,0,1,0,0,5,0,0,71,1,0,0,1,1,1,38,68,61,0,44,61,0,0,0,1,41,0,0,48,77,70,70,0,0,52,53,4,0,59,1,7,46,36,15,15,48,15,15,72,15,120,45,15,59,15,15,0,58,31,34,45,61,52,61,55,54,0,0,0,0,0
10,10,10,3,10,10,3,3,21,David,Eure,2,10,10,90,0,0,0,0,0,0,0,17,90,0,70,1207,83,1,83,0,0,85,0,162,0,48,0,0,56,42,65,3,3,67,2,2,90,2,79,1,70,43,53,0,0,21,45,61,0,53,0,0,0,0,0,0,5,45,0,33,2,0,0,1,1,1,23,72,80,0,53,50,0,0,0,0,17,0,0,46,60,70,70,11,11,44,42,1,0,47,1,16,70,75,0,3,53,3,3,71,3,25,65,3,68,3,3,0,60,75,80,65,61,65,58,68,38,0,0,0,0,0
8,8,8,1,8,8,3,3,37,Camby,Goff,2,8,8,86,0,1,1,1,1,0,0,41,88,0,70,8732,84,1,84,0,0,83,0,160,0,48,0,0,68,41,65,3,3,69,1,1,88,0,80,1,68,40,47,0,0,29,44,67,0,43,0,0,0,0,0,10,5,21,0,11,0,0,0,1,1,1,39,78,82,0,51,47,0,0,0,0,42,0,10,60,66,69,69,5,5,39,48,4,1,56,2,17,70,57,3,4,64,4,4,73,4,35,65,4,79,4,4,0,57,67,70,65,84,65,69,60,49,0,0,0,0,0
5,5,5,3,5,5,3,3,45,Caleb,Humphrey,2,5,5,90,0,0,0,0,0,0,0,38,83,0,67,527,85,1,85,0,0,78,0,173,0,37,0,1,60,45,71,3,3,60,2,2,83,41,89,1,76,47,53,0,0,17,60,60,0,53,0,0,0,0,0,0,5,0,0,36,0,0,0,1,1,1,45,82,70,0,60,60,0,0,0,0,40,0,0,60,77,71,71,10,10,43,47,5,0,60,1,15,67,65,7,10,60,10,10,75,10,80,65,10,73,10,10,0,60,65,65,71,60,71,60,70,44,0,0,0,0,0
7,7,7,2,7,7,3,3,55,Trey,Taylor,2,7,7,94,0,0,0,3,3,0,0,39,85,0,70,10798,86,1,86,0,0,84,0,160,0,61,0,0,55,38,65,3,3,62,1,1,85,16,79,0,75,49,54,0,0,33,62,61,0,47,0,0,0,0,0,12,5,0,0,7,1,0,0,1,1,2,56,78,75,0,60,66,0,0,0,0,40,0,12,62,65,71,71,0,0,51,33,5,0,57,2,18,70,70,4,5,55,5,5,72,5,45,65,5,64,5,5,0,70,70,70,65,66,65,70,63,42,0,0,0,0,0
5,5,5,1,5,5,3,3,50,John Lee,Eldridge III,2,5,5,78,0,0,0,0,0,0,0,50,93,0,70,6165,87,1,87,0,0,84,0,244,0,38,0,0,50,14,68,3,3,60,1,1,93,2,85,0,70,50,50,0,0,17,63,63,0,50,0,0,0,0,0,7,5,0,0,24,2,0,0,1,1,1,50,65,65,0,65,66,0,0,0,0,50,0,7,50,63,69,69,3,3,14,12,5,0,50,3,1,70,50,7,4,50,4,4,69,4,35,75,4,50,4,4,0,67,65,70,70,70,68,70,70,13,0,0,0,0,0
8,8,8,1,8,8,3,3,42,Jacob,Trach,2,8,8,93,0,3,3,0,0,0,0,38,87,0,38,1061,88,1,88,0,0,82,0,157,0,33,0,0,58,63,38,3,3,60,2,2,87,0,83,1,51,60,62,0,0,21,63,61,0,60,0,0,0,0,0,0,5,0,0,29,1,0,0,1,1,1,42,65,75,0,61,72,0,0,0,0,39,0,0,60,63,64,64,1,1,43,67,0,0,60,1,1,55,37,3,1,58,1,1,67,1,15,55,1,76,1,1,0,61,33,33,37,77,48,77,65,65,0,0,0,0,0
5,5,5,1,6,5,3,3,50,Matthew,Malloy,2,5,5,85,0,0,0,0,0,0,0,20,80,0,74,584,89,1,89,0,0,76,0,85,0,58,0,0,70,75,69,4,4,59,2,2,80,0,73,0,74,67,67,0,0,17,62,64,0,67,0,0,0,0,0,0,5,0,0,6,0,0,0,1,1,2,50,65,80,0,60,70,0,0,0,0,22,0,0,70,70,69,69,4,4,79,60,2,0,63,5,13,74,59,7,7,60,7,7,75,7,60,70,7,50,7,7,0,60,64,64,69,70,70,70,60,60,0,0,0,0,0
3,7,7,2,7,7,3,3,32,Elijah,Brockman,2,7,7,70,0,0,0,0,0,0,0,50,77,0,65,1321,90,1,90,0,0,67,0,107,0,41,0,0,52,40,70,3,3,54,1,1,77,0,76,1,62,50,50,0,0,20,51,57,0,50,0,0,0,0,0,0,5,0,0,92,0,0,0,1,1,1,42,62,60,0,38,52,0,0,0,0,50,0,0,42,82,70,70,0,0,45,37,3,0,50,3,12,65,50,14,14,45,14,14,75,14,115,77,14,50,14,14,0,32,50,65,70,46,77,58,47,41,0,0,0,0,0
5,5,5,1,5,5,0,0,30,Jayden,Thiergood,2,5,5,70,0,0,0,0,0,0,0,21,80,0,66,3132,91,1,91,0,0,73,0,165,0,64,0,0,35,22,73,3,3,37,2,2,80,0,76,1,71,49,23,0,0,20,18,29,0,37,1,0,0,0,0,10,5,0,0,48,0,0,0,1,1,1,24,68,55,0,37,32,0,0,0,0,25,0,10,36,76,69,69,1,1,50,32,4,0,25,1,11,66,26,9,12,37,12,12,75,12,100,70,12,67,12,12,0,37,26,23,71,16,70,25,23,34,0,0,0,0,0
3,7,7,1,7,7,3,3,38,Ayden,McCollough,2,7,7,70,0,0,0,0,0,0,0,41,76,0,56,5931,92,1,92,0,0,66,0,98,0,51,0,0,46,42,54,3,3,42,1,1,76,20,80,1,45,74,76,0,0,20,42,48,0,75,0,0,0,0,0,0,5,0,0,66,1,0,0,1,1,1,41,78,55,0,42,38,0,0,0,0,38,0,0,46,80,69,69,0,0,43,42,3,0,40,1,8,51,40,14,16,39,16,16,75,16,130,61,16,71,16,16,0,43,55,56,52,59,58,59,50,45,0,0,0,0,0
2,8,8,1,8,8,3,3,43,Everett,Smalley,2,8,8,70,0,0,0,0,0,0,0,38,77,0,35,2171,93,1,93,0,0,67,0,36,0,56,0,0,33,77,33,4,4,37,2,2,77,11,77,0,41,75,80,0,0,34,37,36,0,75,4,0,0,1,0,0,5,20,0,63,0,0,0,2,2,1,41,62,53,0,39,35,0,0,0,1,41,0,0,30,78,71,71,0,0,81,78,5,0,12,5,9,31,28,15,13,15,13,13,75,13,105,33,13,50,13,13,0,43,36,34,28,68,51,68,47,79,0,1,0,0,0
8,8,8,1,8,8,3,3,50,Jorden,Gidrey,2,8,8,70,0,0,0,0,0,0,0,50,90,0,70,10883,94,1,94,0,0,80,0,189,0,60,0,1,50,38,70,3,3,65,2,2,90,7,75,1,70,50,50,0,0,2,62,64,0,50,0,16,16,0,0,0,5,0,0,15,2,0,0,1,1,1,50,84,65,0,69,72,0,0,0,0,50,0,0,50,62,70,70,0,0,42,41,4,1,50,1,1,65,57,4,1,50,1,1,66,1,15,77,1,50,1,1,0,79,57,61,70,80,73,79,79,41,0,1,0,0,0
6,6,6,3,6,6,3,3,50,Brandon,Lewis,2,6,6,86,0,0,0,0,0,0,0,50,92,0,70,1033,95,1,95,0,0,89,0,36,0,32,0,0,72,77,60,3,3,72,2,2,92,2,79,1,63,50,50,0,0,17,62,65,0,50,0,0,0,0,0,0,5,22,0,13,2,0,0,1,1,1,50,72,75,0,70,72,0,0,0,0,50,0,0,72,62,77,77,0,0,81,73,3,0,51,5,3,65,70,5,1,72,1,1,69,1,15,60,1,50,1,1,0,80,65,70,60,85,56,85,80,77,0,1,0,0,0
5,5,5,2,5,5,3,3,40,T.D.,Blackmon,2,5,5,78,0,1,1,0,0,0,0,39,85,0,80,10506,96,1,96,0,0,77,0,160,0,69,0,1,48,39,67,3,3,60,2,2,85,33,80,1,73,42,40,0,0,21,39,38,0,40,0,0,0,0,0,0,5,0,0,27,0,0,0,2,2,1,40,78,70,0,48,22,0,0,0,0,39,0,0,50,72,72,72,14,14,42,40,6,0,49,3,14,80,62,9,8,42,8,8,73,8,70,70,8,78,8,8,0,34,65,68,67,55,65,36,42,38,0,0,0,0,0
5,5,5,1,5,5,3,3,41,Alec,Mock,2,5,5,78,0,0,0,0,0,0,0,42,83,0,73,8208,97,1,97,0,0,77,0,16,0,24,0,1,59,74,70,4,4,60,2,2,83,6,84,0,73,51,56,0,0,21,66,32,0,44,0,0,0,1,0,0,5,0,0,40,0,0,0,2,2,1,42,72,76,0,61,50,0,0,0,0,41,0,0,45,76,71,71,14,14,76,87,4,0,23,5,14,73,58,7,8,59,8,8,75,8,70,73,8,59,8,8,0,50,63,66,73,65,73,65,66,77,0,0,0,0,0
2,8,8,3,8,8,3,3,40,Hawk,Wimmer,2,8,8,70,0,0,0,0,0,0,0,40,69,0,48,12295,98,1,98,0,0,59,0,90,0,40,0,0,32,80,44,4,4,40,2,2,69,0,77,0,38,76,80,0,0,20,51,47,0,76,2,0,0,1,0,0,5,11,0,62,0,0,0,2,2,1,42,76,41,0,39,56,0,0,0,1,42,0,0,33,85,72,72,10,10,71,86,3,0,18,3,6,50,30,15,20,10,20,20,76,20,170,48,20,56,20,20,0,62,46,44,42,60,59,60,57,71,0,0,0,0,0
3,5,4,2,4,4,3,3,45,Brad,Roberts,2,4,4,93,0,0,0,0,0,0,0,50,90,0,50,1325,99,1,99,0,0,83,0,36,0,35,0,0,62,40,50,3,3,64,2,2,90,4,84,1,50,65,75,0,0,17,80,90,0,80,0,0,0,0,0,0,5,0,0,20,2,0,0,1,1,1,59,74,64,0,85,80,0,0,0,0,50,0,0,64,75,88,88,1,1,39,38,3,1,67,1,2,50,50,6,5,62,5,5,71,5,45,50,5,50,5,5,0,95,50,50,50,80,50,80,83,39,0,1,0,0,0
7,7,7,3,7,7,3,3,38,Corvan,Taylor,2,7,7,86,0,0,0,3,3,0,0,38,85,0,80,599,100,1,100,0,0,79,0,23,0,54,0,1,65,21,68,3,3,65,2,2,85,0,81,1,80,37,19,0,0,21,54,57,0,29,1,16,16,0,0,11,5,0,0,21,2,0,0,1,1,1,40,74,70,0,65,64,0,0,0,0,39,0,11,65,68,77,77,10,10,41,20,3,0,70,3,17,80,70,4,5,60,5,5,74,5,45,68,5,77,5,5,0,60,70,80,68,68,68,68,62,23,0,0,0,0,0
8,8,8,1,8,8,3,3,42,Michael,Mack II,2,8,8,90,0,0,0,0,0,3,3,40,85,0,65,4898,101,1,101,0,0,84,0,171,0,52,0,0,60,43,65,3,3,65,1,1,85,4,80,1,65,41,42,0,0,21,53,57,0,40,2,0,0,0,0,0,5,0,0,9,2,0,0,1,1,1,40,68,76,0,49,53,0,0,0,0,41,0,0,60,65,67,67,0,0,37,45,5,0,53,3,16,65,78,3,2,60,2,2,73,2,20,63,2,65,2,2,0,47,78,78,65,69,63,60,61,43,0,0,0,0,0
8,8,8,1,8,8,3,3,41,Eian,Castonguay,2,8,8,79,0,0,0,3,3,0,0,38,87,0,68,5476,102,1,102,0,0,85,0,160,0,46,0,1,59,18,63,3,3,65,1,1,87,7,79,1,78,38,43,0,0,17,52,58,0,41,4,0,0,0,0,10,5,19,0,2,2,0,0,1,1,1,38,65,80,0,46,56,0,0,0,0,41,0,10,60,72,67,67,4,4,46,37,4,0,58,3,16,73,68,3,3,53,3,3,72,3,25,68,3,77,3,3,0,63,73,73,63,69,60,70,52,41,0,1,0,0,0
6,6,6,2,6,6,0,0,74,Haaziq,Daniels,2,6,6,94,0,0,0,0,0,0,0,38,90,0,65,7475,103,1,103,0,0,80,0,157,0,48,0,0,60,22,23,3,3,55,2,2,90,2,70,1,58,67,75,0,0,33,60,60,0,77,2,0,0,0,0,0,5,0,0,4,2,0,0,1,1,1,76,65,65,0,70,70,0,0,0,0,38,0,0,55,60,72,72,0,0,39,22,0,1,61,3,0,62,55,6,5,60,5,5,73,5,40,60,5,73,5,5,0,75,57,56,25,81,37,81,75,23,0,1,0,0,0
4,6,4,2,6,6,3,3,64,Omar,Fattah,2,6,6,93,0,0,0,0,0,0,0,29,80,0,53,8746,104,1,104,0,0,75,0,157,0,32,0,0,62,14,48,3,3,61,2,2,80,11,88,0,59,63,65,0,1,2,76,76,0,63,2,0,0,0,0,7,5,0,0,44,2,0,0,2,2,1,68,70,77,0,63,86,0,0,0,0,40,0,7,71,79,66,66,11,11,13,41,6,1,60,3,2,57,39,6,6,58,6,6,71,6,55,55,6,67,6,6,0,62,53,53,52,70,43,70,60,28,0,1,0,0,0
5,5,5,1,5,5,3,3,56,Nasir,Rashid,2,5,5,79,0,0,0,0,0,0,0,52,89,0,60,8824,105,1,105,0,0,73,0,193,0,38,0,0,58,12,66,3,3,58,1,1,89,0,81,0,68,19,10,0,0,29,56,56,0,11,2,0,0,0,0,0,5,0,0,34,0,0,0,1,1,2,60,65,71,0,56,56,0,0,0,0,53,0,0,51,72,62,62,0,0,19,11,4,0,18,1,14,66,59,13,7,48,7,7,72,7,60,72,7,31,7,7,0,54,56,64,66,55,72,56,58,19,0,0,0,0,0
8,8,8,1,8,8,3,3,41,Micah,Davis,2,8,8,92,0,0,0,0,0,0,0,39,88,0,33,2346,106,1,106,0,0,84,0,157,0,40,0,0,75,38,23,3,3,75,2,2,88,0,85,1,35,60,70,0,0,17,62,62,0,70,0,0,0,0,0,9,5,0,0,80,0,0,0,1,1,1,56,68,75,0,70,72,0,0,0,0,41,0,9,75,62,77,77,1,1,37,38,4,0,70,1,3,30,35,1,1,75,1,1,71,1,15,28,1,74,1,1,0,80,23,21,25,80,30,80,85,36,0,1,0,0,0
5,5,5,1,5,5,3,3,24,Dane,Kinamon,2,5,5,85,0,0,0,0,0,0,0,19,95,0,50,2360,107,1,107,0,0,80,0,3,0,32,0,1,61,22,46,3,3,63,2,2,95,0,77,0,49,62,70,0,0,17,65,64,0,66,2,0,0,0,0,12,5,0,0,23,1,0,0,2,2,1,17,68,80,0,64,65,0,0,0,0,22,0,12,63,65,69,69,0,0,19,20,0,0,63,1,3,52,57,7,5,61,5,5,72,5,40,48,5,66,5,5,0,64,54,58,51,85,49,85,83,21,0,0,0,0,0
4,4,4,1,6,4,3,3,26,Thor,Paglialong,2,4,4,70,0,0,0,0,0,0,0,34,76,0,41,3132,108,1,108,0,0,66,0,3,0,56,0,1,48,41,49,3,3,49,2,2,76,13,77,0,49,73,77,0,0,33,55,60,0,73,0,0,0,0,0,12,5,0,0,68,0,0,0,1,1,1,30,70,49,0,37,58,0,0,0,0,28,0,12,31,76,70,70,1,1,44,43,3,0,50,3,7,48,50,13,15,37,15,15,76,15,125,49,15,44,15,15,0,54,31,33,49,68,49,68,52,43,0,0,0,0,0
4,4,4,3,6,4,3,3,31,McKenly,O'Neal,2,4,4,70,0,0,0,0,0,0,0,36,77,0,65,10904,109,1,109,0,0,66,0,1,0,38,0,0,48,42,70,3,3,49,2,2,77,2,77,0,66,73,77,0,0,33,38,53,0,75,2,0,0,1,0,7,5,57,0,91,1,0,0,1,1,1,33,78,56,0,36,47,0,0,0,1,29,0,7,38,84,69,69,1,1,45,46,5,0,54,3,11,65,43,13,11,45,11,11,75,11,95,80,11,46,11,11,0,27,35,28,75,65,75,65,47,45,0,0,0,0,0
5,5,5,1,5,5,0,0,70,Zachary,Larrier,2,5,5,94,0,0,0,0,0,0,0,40,90,0,66,1061,110,1,110,0,0,88,0,157,0,54,0,0,48,39,62,3,3,60,2,2,90,10,86,0,67,37,39,0,1,17,65,65,0,38,2,0,0,0,5,7,5,0,0,9,2,0,0,1,1,2,74,70,75,0,70,71,0,0,0,0,40,5,7,32,65,69,69,0,0,41,41,4,0,43,3,0,68,61,7,4,38,4,4,72,4,35,61,4,57,4,4,0,79,68,75,64,79,62,79,79,41,0,1,0,0,0
6,6,6,3,6,6,0,0,70,Warren,Bryan,0,6,6,92,0,0,0,3,3,0,0,39,90,0,51,1076,111,1,111,0,0,83,0,192,0,61,0,0,58,39,53,3,3,64,2,2,90,0,81,1,48,38,66,0,0,17,65,65,0,53,0,0,0,0,0,12,5,9,0,6,2,0,0,1,1,1,76,68,75,0,65,72,0,0,0,0,40,0,12,63,65,69,69,3,3,41,41,3,1,60,2,0,54,50,5,5,55,5,5,73,5,40,61,5,80,5,5,0,73,54,60,55,73,51,73,73,38,0,1,0,0,0
2,8,8,1,8,8,3,3,41,Kaleb,Holcomb,2,8,8,70,0,0,0,0,0,0,0,39,73,0,33,8877,112,1,112,0,0,63,0,98,0,39,0,0,33,81,37,4,4,37,2,2,73,2,75,0,51,74,77,0,0,34,39,39,0,75,2,0,0,1,0,0,5,20,0,51,1,0,0,2,2,1,40,76,56,0,40,38,0,0,0,1,40,0,0,35,76,68,68,0,0,80,71,3,0,16,5,9,48,22,15,13,11,13,13,76,13,105,35,13,55,13,13,0,35,39,35,51,64,54,64,38,84,0,0,0,0,0
9,9,9,1,9,9,0,0,70,Jensen,Jones,0,9,9,93,0,0,0,0,0,0,0,50,85,0,50,2205,113,1,113,0,0,76,0,95,0,56,0,1,60,42,50,3,3,62,1,1,85,20,87,1,50,54,63,0,1,17,67,75,0,63,0,0,0,0,0,0,5,0,0,5,2,0,0,1,1,1,75,72,60,0,65,72,0,0,0,0,50,0,0,60,67,67,67,11,11,41,44,3,1,50,3,0,50,50,1,6,60,6,6,74,6,55,50,6,50,6,6,0,63,50,50,50,73,50,73,73,42,0,1,0,0,0
7,7,7,1,7,7,3,3,50,Nate,Polk,2,7,7,83,0,0,0,0,0,0,0,50,88,0,70,579,114,1,114,0,0,74,0,159,0,76,0,1,50,46,71,3,3,62,1,1,88,2,82,1,70,50,50,0,0,33,55,55,0,50,0,0,0,0,0,0,5,0,0,42,0,0,0,1,1,1,50,86,71,0,55,56,0,0,0,0,50,0,10,50,69,69,69,11,11,40,42,3,0,50,2,13,70,71,1,5,50,5,5,74,5,45,68,5,50,5,5,0,56,71,75,66,78,68,78,53,43,0,0,0,0,0
6,6,6,1,6,6,3,3,65,Mason,Bugg,2,6,6,92,0,0,0,0,0,0,0,36,80,0,65,599,115,1,115,0,0,80,0,106,0,63,0,0,62,44,65,3,3,62,1,1,80,0,81,1,66,42,63,0,0,33,64,64,0,59,0,0,0,0,0,7,5,0,0,20,2,0,0,1,1,1,75,76,75,0,65,74,0,0,0,0,38,0,7,62,66,67,67,1,1,60,40,3,1,63,11,17,65,74,5,2,62,2,2,74,2,20,66,2,84,2,2,0,65,69,74,65,76,66,76,76,47,0,1,0,0,0
